Rank,Video Count,Channel Name,YouTube Channel URL (estimated),Sample Video URL
1,223,Community,https://www.youtube.com/@Community,https://www.youtube.com/watch?v=rBmlOjNbR_U
2,41,The Wandering Newbie,https://www.youtube.com/@TheWanderingNewbie,https://www.youtube.com/watch?v=WAMXQ3blch0
3,29,Adventure Victoria,https://www.youtube.com/@AdventureVictoria,https://www.youtube.com/watch?v=vA774gsNutA
4,13,Intrepid Souls,https://www.youtube.com/@IntrepidSouls,https://www.youtube.com/watch?v=Pm1V8yb4Gs8
5,12,Adventure victoria,https://www.youtube.com/@Adventurevictoria,https://www.youtube.com/watch?v=2s-IFKwgFyA
6,12,TOO FAR SOUTH OFFROAD ,https://www.youtube.com/@TOOFARSOUTHOFFROAD,https://www.youtube.com/watch?v=FHfaNeLLFTQ
7,12,Here! Camping,https://www.youtube.com/@HereCamping,https://www.youtube.com/watch?v=4G-0HVJU1KI
8,11,AdventureON,https://www.youtube.com/@AdventureON,https://www.youtube.com/watch?v=gUeuxgzv3xw
9,10,Apostle Whey Cheese,https://www.youtube.com/@ApostleWheyCheese,https://www.youtube.com/watch?v=d4JAGhF4-mg
10,9,Cooking Pinay in Melbourne,https://www.youtube.com/@CookingPinayinMelbourne,https://www.youtube.com/watch?v=RCTYzIe-Hbk
11,9,Gay and Carol,https://www.youtube.com/@GayandCarol,https://www.youtube.com/watch?v=zWoSs8Hlt6s
12,9,Have a crack,https://www.youtube.com/@Haveacrack,https://www.youtube.com/watch?v=hA8Xfd6oaoI
13,9,Camping and Treasure Hunting  Australia,https://www.youtube.com/@CampingandTreasureHuntingAustralia,https://www.youtube.com/watch?v=6UNUdjj8HZ4
14,8,Parks Victoria,https://www.youtube.com/@ParksVictoria,https://www.youtube.com/watch?v=KEdn1WOIkPU
15,8,Indefinite Leave,https://www.youtube.com/@IndefiniteLeave,https://www.youtube.com/watch?v=M95Tv71pj-M
16,7,Caravan Adventure Aus,https://www.youtube.com/@CaravanAdventureAus,https://www.youtube.com/watch?v=MA9adLyXYNA
17,7,Offroad Touring Life,https://www.youtube.com/@OffroadTouringLife,https://www.youtube.com/watch?v=RMNGUvQpj_s
18,7,Kombi Studio,https://www.youtube.com/@KombiStudio,https://www.youtube.com/watch?v=UQWsvERDGtc
19,7,Campertrailering,https://www.youtube.com/@Campertrailering,https://www.youtube.com/watch?v=TIEY4s0CpPE
20,7,HAB_HA3,https://www.youtube.com/@HABHA3,https://www.youtube.com/watch?v=gM19Cog5aps
21,6,OZ RV TRAVELS,https://www.youtube.com/@OZRVTRAVELS,https://www.youtube.com/watch?v=hyabbXW2rzU
22,6,Wander Explore Discover,https://www.youtube.com/@WanderExploreDiscover,https://www.youtube.com/watch?v=WP8L5QWy9Xc
23,6,Never Waste A Day,https://www.youtube.com/@NeverWasteADay,https://www.youtube.com/watch?v=M9FVOEL3sjU
24,6,Gone Caravanning,https://www.youtube.com/@GoneCaravanning,https://www.youtube.com/watch?v=cqY0bDoaVwo
25,5,Urban Aerial Explorer,https://www.youtube.com/@UrbanAerialExplorer,https://www.youtube.com/watch?v=lQSLhfP_LKM
26,5,Aussie Nomad Destinations,https://www.youtube.com/@AussieNomadDestinations,https://www.youtube.com/watch?v=Cr02Wr54ONo
27,5,Tim Bates 4wd Adventures,https://www.youtube.com/@TimBates4wdAdventures,https://www.youtube.com/watch?v=-L8c0BUW3xY
28,5,Eds 4WD & Camping,https://www.youtube.com/@Eds4WDCamping,https://www.youtube.com/watch?v=q9osbPIDlyY
29,4,OzIndo Adventures,https://www.youtube.com/@OzIndoAdventures,https://www.youtube.com/watch?v=t2PQjEYNvIw
30,4,Paddlebikehiker,https://www.youtube.com/@Paddlebikehiker,https://www.youtube.com/watch?v=vs6UO-rqfxQ
31,4,Sid TraVlog,https://www.youtube.com/@SidTraVlog,https://www.youtube.com/watch?v=onWmE3wyY6I
32,4,Doug & Jamie,https://www.youtube.com/@DougJamie,https://www.youtube.com/watch?v=hNWJI27nyQc
33,4,Adventures of Katelyn,https://www.youtube.com/@AdventuresofKatelyn,https://www.youtube.com/watch?v=2JUyjWyPSr8
34,4,G day Australia TV,https://www.youtube.com/@GdayAustraliaTV,https://www.youtube.com/watch?v=eepiaPGlpUY
35,4,Caravan Life,https://www.youtube.com/@CaravanLife,https://www.youtube.com/watch?v=GnId55XgNs4
36,4,Kingdeano Adventures,https://www.youtube.com/@KingdeanoAdventures,https://www.youtube.com/watch?v=4qCtBGugkb0
37,3,NasTime Adventures,https://www.youtube.com/@NasTimeAdventures,https://www.youtube.com/watch?v=eCOzIe9PTNo
38,3,Sujith Thomas,https://www.youtube.com/@SujithThomas,https://www.youtube.com/watch?v=E3zLL73Iv-A
39,3,Built 4 Hills,https://www.youtube.com/@Built4Hills,https://www.youtube.com/watch?v=lKOcXZTrnmQ
40,3,ELWANDERER,https://www.youtube.com/@ELWANDERER,https://www.youtube.com/watch?v=bXIHLE0jpxk
41,3,KOTW Adventures,https://www.youtube.com/@KOTWAdventures,https://www.youtube.com/watch?v=l3Eqh80AhsA
42,3,Darren Barton,https://www.youtube.com/@DarrenBarton,https://www.youtube.com/watch?v=iXQu6hIQwGQ
